Comment,Designator,Footprint,LCSC
"47uF","C1","Capacitor_SMD:C_0805_2012Metric",""
"1N4148W","D8,D7,D12,D4,D3,D10,D6,D5,D11,D2,D1,D9","Diode_SMD:D_SOD-323_HandSoldering",""
"MountingHole_Pad","H1,H2","MountingHole:MountingHole_4.3mm_M4_Pad_Via",""
"Conn_02x03_Odd_Even","J1","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"Conn_01x04_Female","J2","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x03","J3","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",""
"Digital","P1","Socket_Arduino_Micro:Socket_Strip_Arduino_1x17",""
"Analog","P2","Socket_Arduino_Micro:Socket_Strip_Arduino_1x17",""
"CONN_01X01","P3,P4,P5,P6","Socket_Arduino_Micro:1pin_Micro",""
"ST-TF-003A","P7","ST-TF-003A:SUNTECH_ST-TF-003A",""
"10k","R1","Resistor_SMD:R_0805_2012Metric",""
"Rotary_Encoder_Switch","SW1,SW3,SW4,SW2","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
